
Initial Lamport's LC-Values:
p0:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25 
p1:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25 
p2:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25 
p3:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25 
p4:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25 

Final Distributed System Values:
p0:  a  b  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  t  u  v  w  x  y  z  a 
p1:  b  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  t  u  v  w  x  y  z  a  b 
p2:  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  t  u  v  w  x  y  z  a  b  c 
p3:  d  e  f  g  h  i  j  k  l  m  n  o  p  q  t  u  v  w  x  y  z  a  b  c  d 
p4:  e  f  g  h  i  j  k  l  m  n  o  p  q  t  u  v  w  x  y  z  a  b  c  d  e 

